repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_HumpbackWhale,recall_HumpbackWhale,f1_HumpbackWhale,support_HumpbackWhale,precision_SpermWhale,recall_SpermWhale,f1_SpermWhale,support_SpermWhale,precision_KillerWhale,recall_KillerWhale,f1_KillerWhale,support_KillerWhale,precision_Long_FinnedPilotWhale,recall_Long_FinnedPilotWhale,f1_Long_FinnedPilotWhale,support_Long_FinnedPilotWhale,precision_NorthernRightWhale,recall_NorthernRightWhale,f1_NorthernRightWhale,support_NorthernRightWhale,precision_SpinnerDolphin,recall_SpinnerDolphin,f1_SpinnerDolphin,support_SpinnerDolphin,precision_Short_Finned(Pacific)PilotWhale,recall_Short_Finned(Pacific)PilotWhale,f1_Short_Finned(Pacific)PilotWhale,support_Short_Finned(Pacific)PilotWhale,precision_Beluga_WhiteWhale,recall_Beluga_WhiteWhale,f1_Beluga_WhiteWhale,support_Beluga_WhiteWhale,precision_WeddellSeal,recall_WeddellSeal,f1_WeddellSeal,support_WeddellSeal,precision_Walrus,recall_Walrus,f1_Walrus,support_Walrus,precision_StripedDolphin,recall_StripedDolphin,f1_StripedDolphin,support_StripedDolphin
0,0,0.9993074792243767,0.9983716712318205,0.9993130147813832,1.0,1.0,1444.0,1.0,1.0,1.0,70.0,1.0,1.0,1.0,203.0,1.0,0.9980769230769231,0.9990375360923965,520.0,1.0,1.0,1.0,204.0,1.0,1.0,1.0,72.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,123.0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,23.0,0.9666666666666667,1.0,0.9830508474576272,29.0,1.0,1.0,1.0,93.0
0,1,0.9386323787258913,0.9196630655705825,0.9356905523972433,0.9961047625309437,0.9638794862962161,1711.0,1.0,1.0,1.0,254.0,0.8036529680365296,0.8669950738916257,0.8341232227488151,203.0,0.9904580152671756,1.0,0.9952061361457335,519.0,0.9065420560747663,0.9509803921568627,0.9282296650717703,204.0,1.0,1.0,1.0,67.0,1.0,0.65,0.7878787878787878,80.0,0.8125,0.5652173913043478,0.6666666666666666,92.0,0.9583333333333334,1.0,0.9787234042553191,23.0,1.0,1.0,1.0,18.0,0.861271676300578,1.0,0.9254658385093167,149.0,1.0,1.0,1.0,102.0
0,2,0.980625,0.9861801911734798,0.9804960067114094,0.9948821239836237,0.9784179752978804,1600.0,1.0,1.0,1.0,69.0,1.0,0.8472906403940886,0.9173333333333333,203.0,1.0,1.0,1.0,520.0,0.8702928870292888,1.0,0.930648769574944,208.0,1.0,1.0,1.0,67.0,1.0,1.0,1.0,120.0,1.0,1.0,1.0,93.0,1.0,1.0,1.0,24.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,27.0,1.0,1.0,1.0,250.0
0,3,0.9818913480885312,0.9721323754852012,0.9811460321653875,0.9987281633456444,0.9924991124151084,1491.0,1.0,1.0,1.0,72.0,0.9946236559139785,0.9158415841584159,0.9536082474226805,202.0,0.9849056603773585,1.0,0.9923954372623575,522.0,0.9320754716981132,1.0,0.96484375,247.0,1.0,1.0,1.0,67.0,1.0,1.0,1.0,79.0,1.0,1.0,1.0,147.0,1.0,1.0,1.0,24.0,1.0,1.0,1.0,21.0,1.0,0.6428571428571429,0.782608695652174,28.0,1.0,1.0,1.0,82.0
0,4,0.983073798239675,0.9873607532818354,0.9830617438436757,0.9974407158502276,0.9863196133181762,1477.0,1.0,1.0,1.0,81.0,0.949748743718593,0.9356435643564357,0.942643391521197,202.0,0.9961685823754789,1.0,0.9980806142034548,520.0,0.9380952380952381,0.9656862745098039,0.9516908212560387,204.0,1.0,1.0,1.0,69.0,1.0,0.9390243902439024,0.9685534591194969,82.0,1.0,1.0,1.0,103.0,1.0,1.0,1.0,35.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,29.0,1.0,1.0,1.0,131.0
1,0,0.9930410577592206,0.9922930604748786,0.9931603037031013,1.0,1.0,1437.0,1.0,1.0,1.0,72.0,1.0,0.9507389162561576,0.9747474747474747,203.0,1.0,1.0,1.0,520.0,1.0,1.0,1.0,204.0,1.0,1.0,1.0,69.0,0.8876404494382022,1.0,0.9404761904761905,79.0,1.0,1.0,1.0,123.0,1.0,1.0,1.0,24.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,29.0,1.0,1.0,1.0,93.0
1,1,0.9596727060198714,0.9387764396088126,0.9563218620194346,0.9969162935170555,0.9715203626806796,1711.0,1.0,1.0,1.0,254.0,0.8381742738589212,0.9950738916256158,0.9099099099099099,203.0,1.0,1.0,1.0,519.0,0.9855072463768116,1.0,0.9927007299270073,204.0,1.0,1.0,1.0,67.0,0.9811320754716981,0.65,0.7819548872180451,80.0,1.0,0.5652173913043478,0.7222222222222222,92.0,1.0,1.0,1.0,23.0,1.0,1.0,1.0,18.0,0.8514285714285714,1.0,0.9197530864197531,149.0,1.0,1.0,1.0,102.0
1,2,0.973125,0.9774168553357637,0.9724323427995637,0.99651882350943,0.9792117168629695,1600.0,1.0,1.0,1.0,69.0,1.0,0.7881773399014779,0.8815426997245179,203.0,1.0,1.0,1.0,520.0,0.8702928870292888,1.0,0.930648769574944,208.0,1.0,1.0,1.0,67.0,1.0,1.0,1.0,120.0,0.8857142857142857,1.0,0.9393939393939394,93.0,1.0,1.0,1.0,24.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,27.0,1.0,1.0,1.0,250.0
1,3,0.9732977303070761,0.9637580373522489,0.9722579752937471,0.9986185542776237,0.9914722463750344,1498.0,1.0,1.0,1.0,70.0,0.9942196531791907,0.8514851485148515,0.9173333333333333,202.0,0.9849056603773585,1.0,0.9923954372623575,522.0,0.9148148148148149,1.0,0.9555125725338491,247.0,1.0,1.0,1.0,72.0,0.9111111111111111,1.0,0.9534883720930233,82.0,1.0,1.0,1.0,147.0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,21.0,1.0,0.6428571428571429,0.782608695652174,28.0,1.0,1.0,1.0,82.0
1,4,0.983073798239675,0.9873607532818354,0.9830617438436757,0.997205649668781,0.9863374731819057,1477.0,1.0,1.0,1.0,81.0,0.949748743718593,0.9356435643564357,0.942643391521197,202.0,0.9961685823754789,1.0,0.9980806142034548,520.0,0.9380952380952381,0.9656862745098039,0.9516908212560387,204.0,1.0,1.0,1.0,67.0,1.0,0.9390243902439024,0.9685534591194969,82.0,1.0,1.0,1.0,103.0,1.0,1.0,1.0,35.0,1.0,1.0,1.0,23.0,1.0,1.0,1.0,29.0,1.0,1.0,1.0,131.0
2,0,0.9986187845303868,0.9984135913591359,0.9986239982768995,1.0,1.0,1448.0,1.0,1.0,1.0,72.0,1.0,0.9901477832512315,0.995049504950495,203.0,1.0,1.0,1.0,520.0,1.0,1.0,1.0,204.0,1.0,1.0,1.0,67.0,0.9753086419753086,1.0,0.9875,79.0,1.0,1.0,1.0,123.0,1.0,1.0,1.0,35.0,1.0,1.0,1.0,23.0,1.0,1.0,1.0,29.0,1.0,1.0,1.0,93.0
2,1,0.9555815312682642,0.941820068017829,0.9517822306291809,0.9974362062946874,0.9742912808709172,1711.0,1.0,1.0,1.0,254.0,0.8458333333333333,1.0,0.9164785553047404,203.0,0.9385171790235082,1.0,0.9682835820895522,519.0,0.98989898989899,0.9607843137254902,0.9751243781094527,204.0,1.0,1.0,1.0,67.0,1.0,0.65,0.7878787878787878,80.0,1.0,0.5652173913043478,0.7222222222222222,92.0,1.0,1.0,1.0,23.0,1.0,1.0,1.0,18.0,0.9802631578947368,1.0,0.9900332225913622,149.0,1.0,1.0,1.0,102.0
2,2,0.973125,0.9774168553357637,0.9724323427995637,0.9971718982087118,0.9821237829100551,1600.0,1.0,1.0,1.0,69.0,1.0,0.7881773399014779,0.8815426997245179,203.0,1.0,1.0,1.0,520.0,0.8702928870292888,1.0,0.930648769574944,208.0,1.0,1.0,1.0,67.0,1.0,1.0,1.0,120.0,0.8857142857142857,1.0,0.9393939393939394,93.0,1.0,1.0,1.0,24.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,27.0,1.0,1.0,1.0,250.0
2,3,0.9781312127236581,0.9640578333199997,0.9775173983147037,0.9973191064092787,0.9852566414524379,1509.0,1.0,1.0,1.0,81.0,0.9685863874345549,0.9158415841584159,0.9414758269720102,202.0,1.0,0.9980842911877394,0.9990412272291467,522.0,0.9320754716981132,1.0,0.96484375,247.0,1.0,1.0,1.0,72.0,0.8953488372093024,0.9390243902439024,0.9166666666666666,82.0,1.0,1.0,1.0,147.0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,21.0,1.0,0.6428571428571429,0.782608695652174,28.0,1.0,1.0,1.0,82.0
2,4,0.9862542955326461,0.98844572204256,0.9862518506444995,0.9989422940314525,0.9920594654407983,1455.0,1.0,1.0,1.0,70.0,0.9742268041237113,0.9356435643564357,0.9545454545454546,202.0,1.0,1.0,1.0,520.0,0.9380952380952381,0.9656862745098039,0.9516908212560387,204.0,1.0,1.0,1.0,69.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,103.0,1.0,1.0,1.0,24.0,1.0,1.0,1.0,21.0,0.9354838709677419,1.0,0.9666666666666667,29.0,1.0,1.0,1.0,131.0
3,0,1.0,1.0,1.0,1.0,1.0,1448.0,1.0,1.0,1.0,72.0,1.0,1.0,1.0,203.0,1.0,1.0,1.0,520.0,1.0,1.0,1.0,204.0,1.0,1.0,1.0,67.0,1.0,1.0,1.0,79.0,1.0,1.0,1.0,123.0,1.0,1.0,1.0,35.0,1.0,1.0,1.0,23.0,1.0,1.0,1.0,29.0,1.0,1.0,1.0,93.0
3,1,0.9602571595558154,0.9409088563462332,0.9566268893353087,0.996143484892174,0.9665501948469195,1711.0,1.0,1.0,1.0,254.0,0.8388429752066116,1.0,0.9123595505617977,203.0,0.9848197343453511,1.0,0.9923518164435946,519.0,0.9902912621359223,1.0,0.9951219512195122,204.0,1.0,1.0,1.0,67.0,1.0,0.65,0.7878787878787878,80.0,1.0,0.5652173913043478,0.7222222222222222,92.0,1.0,1.0,1.0,23.0,1.0,1.0,1.0,18.0,0.8869047619047619,1.0,0.9400630914826499,149.0,1.0,1.0,1.0,102.0
3,2,0.973125,0.9774168553357637,0.9724323427995637,0.9964919088308826,0.9792679500674104,1600.0,1.0,1.0,1.0,69.0,1.0,0.7881773399014779,0.8815426997245179,203.0,1.0,1.0,1.0,520.0,0.8702928870292888,1.0,0.930648769574944,208.0,1.0,1.0,1.0,67.0,1.0,1.0,1.0,120.0,0.8857142857142857,1.0,0.9393939393939394,93.0,1.0,1.0,1.0,24.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,27.0,1.0,1.0,1.0,250.0
3,3,0.9787939032471835,0.9682566246759472,0.9780210633385273,0.9977087837045366,0.987082263125134,1509.0,1.0,1.0,1.0,81.0,0.9685863874345549,0.9158415841584159,0.9414758269720102,202.0,0.9830508474576272,1.0,0.9914529914529915,522.0,0.9356060606060606,1.0,0.9667318982387475,247.0,1.0,1.0,1.0,72.0,1.0,0.9390243902439024,0.9685534591194969,82.0,1.0,1.0,1.0,147.0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,21.0,1.0,0.6428571428571429,0.782608695652174,28.0,1.0,1.0,1.0,82.0
3,4,0.9766323024054983,0.9770147049104808,0.9765262876112218,0.9988953360074042,0.9917384264582442,1455.0,1.0,1.0,1.0,70.0,0.9723756906077348,0.8712871287128713,0.9190600522193212,202.0,1.0,0.9980769230769231,0.9990375360923965,520.0,0.9380952380952381,0.9656862745098039,0.9516908212560387,204.0,1.0,1.0,1.0,69.0,0.8631578947368421,1.0,0.9265536723163842,82.0,1.0,1.0,1.0,103.0,1.0,1.0,1.0,24.0,1.0,1.0,1.0,21.0,0.90625,1.0,0.9508196721311475,29.0,1.0,1.0,1.0,131.0
4,0,1.0,1.0,1.0,1.0,1.0,1448.0,1.0,1.0,1.0,72.0,1.0,1.0,1.0,203.0,1.0,1.0,1.0,520.0,1.0,1.0,1.0,204.0,1.0,1.0,1.0,67.0,1.0,1.0,1.0,79.0,1.0,1.0,1.0,123.0,1.0,1.0,1.0,35.0,1.0,1.0,1.0,23.0,1.0,1.0,1.0,29.0,1.0,1.0,1.0,93.0
4,1,0.9567504383401519,0.9370776003444149,0.9536701549412225,0.9963048085492996,0.9678492222669665,1711.0,1.0,1.0,1.0,254.0,0.8185483870967742,1.0,0.9002217294900222,203.0,1.0,1.0,1.0,519.0,0.9850746268656716,0.9705882352941176,0.9777777777777777,204.0,1.0,1.0,1.0,67.0,1.0,0.65,0.7878787878787878,80.0,1.0,0.5652173913043478,0.7222222222222222,92.0,1.0,1.0,1.0,23.0,1.0,1.0,1.0,18.0,0.8514285714285714,1.0,0.9197530864197531,149.0,1.0,1.0,1.0,102.0
4,2,0.973125,0.9774168553357637,0.9724323427995637,0.9958284122347052,0.9791249294311992,1600.0,1.0,1.0,1.0,69.0,1.0,0.7881773399014779,0.8815426997245179,203.0,1.0,1.0,1.0,520.0,0.8702928870292888,1.0,0.930648769574944,208.0,1.0,1.0,1.0,67.0,1.0,1.0,1.0,120.0,0.8857142857142857,1.0,0.9393939393939394,93.0,1.0,1.0,1.0,24.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,27.0,1.0,1.0,1.0,250.0
