repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_HumpbackWhale,recall_HumpbackWhale,f1_HumpbackWhale,support_HumpbackWhale,precision_SpermWhale,recall_SpermWhale,f1_SpermWhale,support_SpermWhale,precision_KillerWhale,recall_KillerWhale,f1_KillerWhale,support_KillerWhale,precision_Long_FinnedPilotWhale,recall_Long_FinnedPilotWhale,f1_Long_FinnedPilotWhale,support_Long_FinnedPilotWhale,precision_NorthernRightWhale,recall_NorthernRightWhale,f1_NorthernRightWhale,support_NorthernRightWhale,precision_SpinnerDolphin,recall_SpinnerDolphin,f1_SpinnerDolphin,support_SpinnerDolphin,precision_Short_Finned(Pacific)PilotWhale,recall_Short_Finned(Pacific)PilotWhale,f1_Short_Finned(Pacific)PilotWhale,support_Short_Finned(Pacific)PilotWhale,precision_Beluga_WhiteWhale,recall_Beluga_WhiteWhale,f1_Beluga_WhiteWhale,support_Beluga_WhiteWhale,precision_WeddellSeal,recall_WeddellSeal,f1_WeddellSeal,support_WeddellSeal,precision_Walrus,recall_Walrus,f1_Walrus,support_Walrus,precision_StripedDolphin,recall_StripedDolphin,f1_StripedDolphin,support_StripedDolphin
0,0,0.9744754488427428,0.9556816802725628,0.9727166283331804,0.9997556606315392,0.9996107756642114,4623.0,1.0,1.0,1.0,394.0,0.9584859584859585,0.9703337453646477,0.9643734643734644,1618.0,1.0,0.9981185324553151,0.9990583804143126,1063.0,1.0,1.0,1.0,413.0,0.9859154929577465,1.0,0.9929078014184397,140.0,0.7957446808510639,1.0,0.8862559241706162,187.0,1.0,1.0,1.0,133.0,1.0,1.0,1.0,43.0,1.0,1.0,1.0,295.0,1.0,1.0,1.0,200.0,1.0,0.5036496350364964,0.6699029126213593,137.0
0,1,0.9020934658490167,0.7700148454308244,0.881736284283978,0.9762704590672212,0.8422438909422311,4729.0,1.0,1.0,1.0,829.0,0.9436293436293436,0.9902755267423015,0.9663898774219059,1234.0,1.0,1.0,1.0,1212.0,0.5598086124401914,0.9116883116883117,0.6936758893280632,385.0,1.0,1.0,1.0,102.0,1.0,0.6153846153846154,0.7619047619047619,91.0,0.0,0.0,0.0,224.0,1.0,1.0,1.0,76.0,1.0,1.0,1.0,173.0,1.0,1.0,1.0,241.0,1.0,0.024691358024691357,0.04819277108433735,162.0
0,2,0.9899547965846308,0.9942307953357676,0.9900885426357787,0.9982618795061565,0.9821039211410608,3982.0,1.0,1.0,1.0,424.0,1.0,0.9638336347197106,0.9815837937384899,1106.0,1.0,1.0,1.0,811.0,0.9137931034482759,1.0,0.954954954954955,424.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,223.0,1.0,1.0,1.0,140.0,1.0,1.0,1.0,32.0,1.0,1.0,1.0,239.0,1.0,1.0,1.0,112.0,1.0,1.0,1.0,353.0
0,3,0.9844632768361582,0.9673252934871058,0.9844746388835541,0.9990353360316583,0.9885101885410337,4248.0,1.0,1.0,1.0,174.0,1.0,0.9772307692307692,0.9884842826019297,1625.0,1.0,1.0,1.0,969.0,0.931098696461825,1.0,0.9643201542912246,500.0,1.0,1.0,1.0,119.0,0.8465608465608465,1.0,0.9169054441260746,160.0,1.0,1.0,1.0,202.0,1.0,0.7346938775510204,0.8470588235294118,49.0,1.0,1.0,1.0,205.0,1.0,0.8584070796460177,0.9238095238095239,113.0,1.0,1.0,1.0,132.0
0,4,0.9811935807422267,0.9849215761668038,0.9812066902127303,0.998927404497339,0.9923496861671341,3988.0,1.0,1.0,1.0,849.0,0.9701897018970189,0.9310793237971391,0.9502322495023225,769.0,1.0,1.0,1.0,932.0,0.9376391982182628,0.9813519813519813,0.958997722095672,429.0,1.0,1.0,1.0,110.0,1.0,0.947565543071161,0.9730769230769231,267.0,1.0,1.0,1.0,108.0,1.0,1.0,1.0,58.0,1.0,1.0,1.0,119.0,1.0,1.0,1.0,100.0,0.9080882352941176,1.0,0.9518304431599229,247.0
1,0,0.9855278766310794,0.9702043594818028,0.9863668192826117,1.0,1.0,4215.0,1.0,1.0,1.0,174.0,1.0,0.9710144927536232,0.9852941176470589,1656.0,1.0,1.0,1.0,983.0,1.0,1.0,1.0,413.0,1.0,1.0,1.0,110.0,0.7239819004524887,1.0,0.8398950131233596,160.0,1.0,1.0,1.0,133.0,1.0,0.7346938775510204,0.8470588235294118,49.0,1.0,1.0,1.0,200.0,1.0,1.0,1.0,200.0,1.0,1.0,1.0,137.0
1,1,0.8982150446238844,0.7478540759610862,0.874521016307488,0.9845001409214031,0.8482364508194412,4706.0,1.0,1.0,1.0,829.0,0.8957497995188453,0.9991055456171736,0.9446088794926004,1118.0,0.9992331288343558,1.0,0.9996164173379364,1303.0,0.6155234657039711,0.8857142857142857,0.7263045793397231,385.0,1.0,1.0,1.0,104.0,0.6842105263157895,0.42857142857142855,0.527027027027027,91.0,0.0,0.0,0.0,224.0,0.9620253164556962,1.0,0.9806451612903225,76.0,1.0,1.0,1.0,173.0,1.0,1.0,1.0,241.0,1.0,0.024691358024691357,0.04819277108433735,162.0
1,2,0.940755873340143,0.9484943100594663,0.947559283426353,0.9965973900898214,0.9760274632414064,3916.0,1.0,1.0,1.0,424.0,1.0,0.7941437444543035,0.8852621167161226,1127.0,1.0,1.0,1.0,810.0,0.9137931034482759,1.0,0.954954954954955,424.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,223.0,0.42168674698795183,1.0,0.5932203389830508,140.0,1.0,1.0,1.0,32.0,1.0,1.0,1.0,154.0,1.0,1.0,1.0,112.0,1.0,1.0,1.0,353.0
1,3,0.9348541346786576,0.9107103125776508,0.9392913921618842,0.9982088576947837,0.9826315661282667,4559.0,1.0,1.0,1.0,394.0,0.9909967845659164,0.9697923222152297,0.9802798982188295,1589.0,1.0,0.7791469194312797,0.8758657432072456,1055.0,0.931098696461825,1.0,0.9643201542912246,500.0,1.0,1.0,1.0,140.0,0.8738317757009346,1.0,0.9326683291770573,187.0,0.543010752688172,1.0,0.7038327526132404,202.0,0.4673913043478261,1.0,0.6370370370370371,43.0,1.0,1.0,1.0,204.0,1.0,0.8584070796460177,0.9238095238095239,113.0,1.0,1.0,1.0,132.0
1,4,0.9861044561571634,0.989899863857989,0.9861400552097258,0.9991867487580599,0.9934302492167079,4174.0,1.0,1.0,1.0,849.0,0.9652777777777778,0.9675174013921114,0.966396292004635,862.0,1.0,1.0,1.0,836.0,0.9365079365079365,0.9627039627039627,0.9494252873563218,429.0,1.0,1.0,1.0,118.0,1.0,0.947565543071161,0.9730769230769231,267.0,1.0,1.0,1.0,108.0,1.0,1.0,1.0,58.0,1.0,1.0,1.0,300.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,247.0
2,0,1.0,1.0,1.0,1.0,1.0,4256.0,1.0,1.0,1.0,174.0,1.0,1.0,1.0,1574.0,1.0,1.0,1.0,1090.0,1.0,1.0,1.0,413.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,160.0,1.0,1.0,1.0,133.0,1.0,1.0,1.0,58.0,1.0,1.0,1.0,300.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,137.0
2,1,0.9035806729939603,0.7832502114030176,0.8820802337105649,0.9870085658569288,0.8660326188241941,4636.0,1.0,1.0,1.0,829.0,0.8917682926829268,1.0,0.9427880741337631,1170.0,0.9941077441077442,1.0,0.9970451667370198,1181.0,0.6521739130434783,0.8961038961038961,0.7549234135667396,385.0,1.0,1.0,1.0,104.0,1.0,0.6153846153846154,0.7619047619047619,91.0,0.0,0.0,0.0,224.0,1.0,1.0,1.0,76.0,1.0,1.0,1.0,173.0,1.0,1.0,1.0,241.0,1.0,0.08641975308641975,0.1590909090909091,162.0
2,2,0.9417085427135679,0.947963015759626,0.9482322166761312,0.9965611989435144,0.9761575130392669,3980.0,1.0,1.0,1.0,424.0,1.0,0.7847866419294991,0.8794178794178794,1078.0,1.0,1.0,1.0,841.0,0.9137931034482759,1.0,0.954954954954955,424.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,223.0,0.42168674698795183,1.0,0.5932203389830508,140.0,1.0,1.0,1.0,28.0,1.0,1.0,1.0,239.0,1.0,1.0,1.0,112.0,1.0,1.0,1.0,353.0
2,3,0.9863663307646711,0.9825806508377969,0.9863528371331786,0.9985115295799699,0.9818169571387169,5061.0,1.0,1.0,1.0,849.0,0.9912989434431324,0.977328431372549,0.9842641160135761,1632.0,1.0,0.9981132075471698,0.9990557129367328,1060.0,0.931098696461825,1.0,0.9643201542912246,500.0,0.9859154929577465,1.0,0.9929078014184397,140.0,0.9405204460966543,0.947565543071161,0.9440298507462687,267.0,1.0,1.0,1.0,202.0,1.0,1.0,1.0,47.0,1.0,1.0,1.0,119.0,1.0,0.8584070796460177,0.9238095238095239,113.0,1.0,1.0,1.0,132.0
2,4,0.9771789936761067,0.9333263038915078,0.9742390309811417,0.9986517053850505,0.969023483429226,3637.0,1.0,1.0,1.0,394.0,0.9797297297297297,0.9688195991091314,0.9742441209406495,898.0,0.9713945172824792,1.0,0.9854897218863361,815.0,0.9362186788154897,0.958041958041958,0.9470046082949308,429.0,1.0,1.0,1.0,110.0,0.935,1.0,0.9664082687338501,187.0,1.0,1.0,1.0,108.0,1.0,0.24489795918367346,0.39344262295081966,49.0,1.0,1.0,1.0,200.0,1.0,1.0,1.0,200.0,1.0,1.0,1.0,247.0
3,0,0.985057202895167,0.9830875339349916,0.9861577115600709,1.0,1.0,4283.0,1.0,1.0,1.0,174.0,1.0,0.9619952494061758,0.9806295399515739,1684.0,1.0,1.0,1.0,1011.0,1.0,1.0,1.0,413.0,1.0,1.0,1.0,118.0,0.7142857142857143,1.0,0.8333333333333334,160.0,1.0,1.0,1.0,133.0,1.0,1.0,1.0,58.0,1.0,1.0,1.0,295.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,137.0
3,1,0.8936579115951313,0.764348582393038,0.8721484812053786,0.9821338638925564,0.8463014883877622,4683.0,1.0,1.0,1.0,829.0,0.8914790996784566,1.0,0.9426264343391415,1109.0,1.0,1.0,1.0,1292.0,0.5489130434782609,0.787012987012987,0.6467449306296692,385.0,1.0,1.0,1.0,101.0,1.0,0.6263736263736264,0.7702702702702703,91.0,0.0,0.0,0.0,224.0,1.0,1.0,1.0,76.0,1.0,1.0,1.0,173.0,1.0,1.0,1.0,241.0,1.0,0.024691358024691357,0.04819277108433735,162.0
3,2,0.9398496240601504,0.946831615545657,0.9462070406269063,0.9972089579520492,0.9758892403340597,3857.0,1.0,1.0,1.0,424.0,1.0,0.7651821862348178,0.8669724770642202,988.0,1.0,1.0,1.0,805.0,0.9137931034482759,1.0,0.954954954954955,424.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,223.0,0.42168674698795183,1.0,0.5932203389830508,140.0,1.0,1.0,1.0,32.0,1.0,1.0,1.0,239.0,1.0,1.0,1.0,112.0,1.0,1.0,1.0,353.0
