,HumpbackWhale,SpermWhale,KillerWhale,Long_FinnedPilotWhale,NorthernRightWhale,SpinnerDolphin,Short_Finned(Pacific)PilotWhale,Beluga_WhiteWhale,WeddellSeal,Walrus,StripedDolphin
HumpbackWhale,3641,0,162,73,732,0,0,302,0,550,0
SpermWhale,0,5787,29,1115,0,713,933,23,2,175,1353
KillerWhale,6,133,19597,1,204,0,3522,1021,1384,142,0
Long_FinnedPilotWhale,140,679,152,8026,0,280,658,0,0,0,735
NorthernRightWhale,272,0,0,0,2927,0,0,0,0,221,0
SpinnerDolphin,0,122,20,0,0,4168,36,0,0,0,84
Short_Finned(Pacific)PilotWhale,0,3658,82,589,0,419,394,368,0,50,20
Beluga_WhiteWhale,13,4,0,0,23,52,26,1114,0,21,57
WeddellSeal,0,0,106,0,9,0,0,23,882,0,0
Walrus,1489,13,11,0,61,0,140,24,0,882,0
StripedDolphin,0,1154,56,2585,0,6,436,26,0,121,2196
