feature,gain,repeat,fold
native_sample_rate,0.29194310307502747,0,0
year,0.29179903864860535,0,0
bytes_on_disk,0.2908589541912079,0,0
duration_seconds,0.12539885938167572,0,0
year,0.3333805203437805,0,1
native_sample_rate,0.3291780948638916,0,1
bytes_on_disk,0.23312894999980927,0,1
duration_seconds,0.10431242734193802,0,1
native_sample_rate,0.3196220099925995,0,2
year,0.29133087396621704,0,2
bytes_on_disk,0.262265682220459,0,2
duration_seconds,0.1267814189195633,0,2
native_sample_rate,0.32316628098487854,0,3
year,0.298909068107605,0,3
bytes_on_disk,0.2746538519859314,0,3
duration_seconds,0.10327084362506866,0,3
year,0.32080769538879395,0,4
native_sample_rate,0.3206939399242401,0,4
bytes_on_disk,0.2488856315612793,0,4
duration_seconds,0.10961269587278366,0,4
native_sample_rate,0.345816969871521,1,0
year,0.3012979328632355,1,0
bytes_on_disk,0.2185211479663849,1,0
duration_seconds,0.13436394929885864,1,0
native_sample_rate,0.35804644227027893,1,1
year,0.327860951423645,1,1
bytes_on_disk,0.18560494482517242,1,1
duration_seconds,0.128487691283226,1,1
native_sample_rate,0.3146640658378601,1,2
year,0.2815955579280853,1,2
bytes_on_disk,0.27679815888404846,1,2
duration_seconds,0.12694215774536133,1,2
bytes_on_disk,0.3249107301235199,1,3
native_sample_rate,0.28084301948547363,1,3
year,0.27538248896598816,1,3
duration_seconds,0.11886370927095413,1,3
year,0.31220465898513794,1,4
bytes_on_disk,0.3079981505870819,1,4
native_sample_rate,0.29624560475349426,1,4
duration_seconds,0.08355160802602768,1,4
native_sample_rate,0.38629451394081116,2,0
year,0.3065498471260071,2,0
bytes_on_disk,0.21545322239398956,2,0
duration_seconds,0.09170237183570862,2,0
year,0.3226487636566162,2,1
native_sample_rate,0.3194922208786011,2,1
bytes_on_disk,0.23050159215927124,2,1
duration_seconds,0.12735745310783386,2,1
native_sample_rate,0.31684908270835876,2,2
year,0.28126728534698486,2,2
bytes_on_disk,0.2746018171310425,2,2
duration_seconds,0.12728187441825867,2,2
bytes_on_disk,0.2835724353790283,2,3
year,0.2796145975589752,2,3
native_sample_rate,0.2775740921497345,2,3
duration_seconds,0.15923890471458435,2,3
native_sample_rate,0.3158223032951355,2,4
year,0.3061859905719757,2,4
bytes_on_disk,0.283978134393692,2,4
duration_seconds,0.0940135046839714,2,4
native_sample_rate,0.36410030722618103,3,0
year,0.304179310798645,3,0
bytes_on_disk,0.22945281863212585,3,0
duration_seconds,0.10226761549711227,3,0
native_sample_rate,0.3385170102119446,3,1
year,0.3169344365596771,3,1
bytes_on_disk,0.24983088672161102,3,1
duration_seconds,0.09471764415502548,3,1
native_sample_rate,0.3146103024482727,3,2
year,0.29743343591690063,3,2
bytes_on_disk,0.27892792224884033,3,2
duration_seconds,0.10902837663888931,3,2
bytes_on_disk,0.27711886167526245,3,3
year,0.26912030577659607,3,3
native_sample_rate,0.2669971287250519,3,3
duration_seconds,0.18676362931728363,3,3
native_sample_rate,0.3188241124153137,3,4
year,0.31545960903167725,3,4
bytes_on_disk,0.2538672983646393,3,4
duration_seconds,0.11184895783662796,3,4
native_sample_rate,0.369484007358551,4,0
year,0.30717208981513977,4,0
bytes_on_disk,0.21252012252807617,4,0
duration_seconds,0.11082372814416885,4,0
native_sample_rate,0.33334627747535706,4,1
year,0.31765028834342957,4,1
bytes_on_disk,0.19315478205680847,4,1
duration_seconds,0.1558486819267273,4,1
native_sample_rate,0.30881229043006897,4,2
year,0.286653071641922,4,2
