repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_HumpbackWhale,recall_HumpbackWhale,f1_HumpbackWhale,support_HumpbackWhale,precision_SpermWhale,recall_SpermWhale,f1_SpermWhale,support_SpermWhale,precision_KillerWhale,recall_KillerWhale,f1_KillerWhale,support_KillerWhale,precision_Long_FinnedPilotWhale,recall_Long_FinnedPilotWhale,f1_Long_FinnedPilotWhale,support_Long_FinnedPilotWhale,precision_NorthernRightWhale,recall_NorthernRightWhale,f1_NorthernRightWhale,support_NorthernRightWhale,precision_SpinnerDolphin,recall_SpinnerDolphin,f1_SpinnerDolphin,support_SpinnerDolphin,precision_Short_Finned(Pacific)PilotWhale,recall_Short_Finned(Pacific)PilotWhale,f1_Short_Finned(Pacific)PilotWhale,support_Short_Finned(Pacific)PilotWhale,precision_Beluga_WhiteWhale,recall_Beluga_WhiteWhale,f1_Beluga_WhiteWhale,support_Beluga_WhiteWhale,precision_WeddellSeal,recall_WeddellSeal,f1_WeddellSeal,support_WeddellSeal,precision_Walrus,recall_Walrus,f1_Walrus,support_Walrus,precision_StripedDolphin,recall_StripedDolphin,f1_StripedDolphin,support_StripedDolphin
0,0,0.6376811594202898,0.567037909617984,0.6621816808007863,0.9318816654613662,0.6509934918891506,4623.0,0.8311688311688312,0.16243654822335024,0.27176220806794055,394.0,0.8613303269447576,0.4721878862793572,0.6099800399201597,1618.0,0.9989754098360656,0.9172154280338665,0.9563511525257479,1063.0,0.6222707423580786,0.6900726392251816,0.6544202066590127,413.0,0.30455635491606714,0.9071428571428571,0.45601436265709155,140.0,0.9538461538461539,0.9946524064171123,0.9738219895287958,187.0,0.09803921568627451,0.07518796992481203,0.0851063829787234,133.0,0.5972222222222222,1.0,0.7478260869565218,43.0,0.9932432432432432,0.9966101694915255,0.9949238578680203,295.0,0.322061191626409,1.0,0.48721071863581,200.0,0.0,0.0,0.0,137.0
0,1,0.758722774370903,0.5060715924208089,0.7153025443531105,0.8144601382945033,0.5702688469255724,4729.0,0.7252843394575678,1.0,0.8407707910750507,829.0,0.8118393234672304,0.93354943273906,0.868450810403317,1234.0,0.9890664423885618,0.9702970297029703,0.9795918367346939,1212.0,0.36065573770491804,0.2857142857142857,0.3188405797101449,385.0,0.6363636363636364,0.20588235294117646,0.3111111111111111,102.0,0.6923076923076923,0.7912087912087912,0.7384615384615385,91.0,0.0,0.0,0.0,224.0,0.4609375,0.7763157894736842,0.5784313725490197,76.0,0.8894736842105263,0.976878612716763,0.931129476584022,173.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0,162.0
0,2,0.8922651933701657,0.8107889640988843,0.8789205080727398,0.957468863167103,0.7907546258355347,3982.0,1.0,0.910377358490566,0.9530864197530864,424.0,0.8333333333333334,0.9177215189873418,0.8734939759036144,1106.0,0.9716399506781751,0.9716399506781751,0.9716399506781751,811.0,0.8626126126126126,0.9033018867924528,0.8824884792626728,424.0,0.921875,1.0,0.959349593495935,118.0,0.9867256637168141,1.0,0.9933184855233853,223.0,0.0,0.0,0.0,140.0,0.4155844155844156,1.0,0.5871559633027523,32.0,1.0,0.9916317991631799,0.9957983193277311,239.0,1.0,0.875,0.9333333333333333,112.0,0.7647058823529411,0.773371104815864,0.7690140845070422,353.0
0,3,0.806261770244821,0.6729511050485629,0.811352721861841,0.9340683028297803,0.8034089358446795,4248.0,0.896551724137931,0.2988505747126437,0.4482758620689655,174.0,0.8452030606238964,0.8836923076923077,0.8640192539109507,1625.0,0.9949302915082383,0.8101135190918473,0.8930602957906713,969.0,0.931098696461825,1.0,0.9643201542912246,500.0,0.9416666666666667,0.9495798319327731,0.9456066945606695,119.0,0.6779661016949152,1.0,0.8080808080808081,160.0,0.0,0.0,0.0,202.0,1.0,0.10204081632653061,0.18518518518518517,49.0,1.0,0.9804878048780488,0.9901477832512315,205.0,0.3711340206185567,0.6371681415929203,0.46905537459283386,113.0,0.9181818181818182,0.7651515151515151,0.8347107438016529,132.0
0,4,0.7151454363089268,0.6005857475507184,0.7248686828874952,0.9256727624486065,0.7034936451995815,3988.0,0.9343065693430657,0.9045936395759717,0.9192100538599641,849.0,0.9907749077490775,0.6983094928478544,0.8192219679633868,769.0,1.0,0.6094420600858369,0.7573333333333333,932.0,0.4953519256308101,0.8694638694638694,0.6311336717428088,429.0,0.990990990990991,1.0,0.995475113122172,110.0,0.7041095890410959,0.9625468164794008,0.8132911392405063,267.0,0.0,0.0,0.0,108.0,0.07317073170731707,0.3103448275862069,0.11842105263157894,58.0,0.35276073619631904,0.9663865546218487,0.5168539325842697,119.0,1.0,1.0,1.0,100.0,0.06593406593406594,0.024291497975708502,0.03550295857988166,247.0
1,0,0.47758007117437723,0.4870754387381344,0.5293394199692553,0.9063507691970828,0.6074750310043014,4215.0,0.0,0.0,0.0,174.0,0.8455284552845529,0.4396135265700483,0.578466428287644,1656.0,0.7783641160949868,0.30010172939979657,0.4331864904552129,983.0,0.6962305986696231,0.7602905569007264,0.7268518518518519,413.0,0.9734513274336283,1.0,0.9865470852017937,110.0,0.8465608465608465,1.0,0.9169054441260746,160.0,0.0,0.0,0.0,133.0,1.0,0.20408163265306123,0.3389830508474576,49.0,0.9949238578680203,0.98,0.9874055415617129,200.0,0.2418379685610641,1.0,0.3894839337877313,200.0,0.0,0.0,0.0,137.0
1,1,0.7443688907777306,0.5075457486474968,0.7067376520705041,0.7916047222628609,0.5464570661408019,4706.0,0.7368888888888889,1.0,0.8485158648925282,829.0,0.7875101378751014,0.868515205724508,0.8260314759676733,1118.0,0.9760986892829607,0.9716039907904835,0.9738461538461538,1303.0,0.3303303303303303,0.2857142857142857,0.3064066852367688,385.0,0.7941176470588235,0.25961538461538464,0.391304347826087,104.0,0.6923076923076923,0.7912087912087912,0.7384615384615385,91.0,0.0,0.0,0.0,224.0,0.44696969696969696,0.7763157894736842,0.5673076923076923,76.0,0.8894736842105263,0.976878612716763,0.931129476584022,173.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0,162.0
1,2,0.8184371807967313,0.7476449392627237,0.7981362825001013,0.9578969155650632,0.792534656121548,3916.0,1.0,0.5448113207547169,0.7053435114503817,424.0,0.7670924117205109,0.9059449866903283,0.8307567127746135,1127.0,0.8163900414937759,0.971604938271605,0.887260428410372,810.0,0.8584070796460177,0.9150943396226415,0.8858447488584474,424.0,0.8931297709923665,1.0,0.9435483870967742,117.0,1.0,1.0,1.0,223.0,0.0,0.0,0.0,140.0,0.367816091954023,1.0,0.5378151260504201,32.0,1.0,0.9025974025974026,0.9488054607508533,154.0,1.0,0.875,0.9333333333333333,112.0,0.65,0.47875354107648727,0.5513866231647635,353.0
1,3,0.7835051546391752,0.6482944554482211,0.7779262518472145,0.9256154492615121,0.7497717451573389,4559.0,0.8311688311688312,0.16243654822335024,0.27176220806794055,394.0,0.8488505747126437,0.9295154185022027,0.8873535596275157,1589.0,0.9879807692307693,0.7791469194312797,0.8712241653418124,1055.0,0.9107468123861566,1.0,0.9532888465204957,500.0,0.5,0.9071428571428571,0.6446700507614214,140.0,0.748,1.0,0.8558352402745996,187.0,0.0,0.0,0.0,202.0,0.17551020408163265,1.0,0.2986111111111111,43.0,1.0,0.9509803921568627,0.9748743718592965,204.0,0.5089285714285714,0.504424778761062,0.5066666666666667,113.0,1.0,0.7651515151515151,0.8669527896995708,132.0
1,4,0.7266411116435074,0.6130948909987609,0.7239708391574384,0.8949787088289167,0.6596454281860106,4174.0,0.9337423312883436,0.8963486454652533,0.9146634615384616,849.0,0.9905660377358491,0.7308584686774942,0.8411214953271028,862.0,1.0,0.5645933014354066,0.7217125382262997,836.0,0.499330655957162,0.8694638694638694,0.6343537414965986,429.0,0.9365079365079365,1.0,0.9672131147540983,118.0,0.6871657754010695,0.9625468164794008,0.8018720748829953,267.0,0.0,0.0,0.0,108.0,0.11612903225806452,0.3103448275862069,0.16901408450704225,58.0,0.5,0.9966666666666667,0.6659242761692651,300.0,1.0,1.0,1.0,100.0,0.046296296296296294,0.020242914979757085,0.028169014084507043,247.0
2,0,0.6419172932330827,0.6682022113030951,0.7026050344179581,0.9484076917853792,0.7394301035285777,4256.0,0.9252336448598131,0.5689655172413793,0.7046263345195729,174.0,0.9041198501872659,0.7668360864040661,0.8298384324510141,1574.0,0.9949622166246851,0.3623853211009174,0.531271015467384,1090.0,0.690744920993228,0.7409200968523002,0.7149532710280374,413.0,0.5532994923857868,0.9316239316239316,0.6942675159235668,117.0,1.0,1.0,1.0,160.0,0.012070566388115135,0.09774436090225563,0.021487603305785124,133.0,0.9830508474576272,1.0,0.9914529914529915,58.0,1.0,0.9933333333333333,0.9966555183946488,300.0,0.8613861386138614,0.87,0.8656716417910447,100.0,0.0,0.0,0.0,137.0
2,1,0.7545297670405522,0.5476268168493412,0.7161568046436485,0.7948071850345222,0.5864107192205817,4636.0,0.742831541218638,1.0,0.8524421593830335,829.0,0.7944486121530383,0.9051282051282051,0.8461845785057931,1170.0,0.9871355060034306,0.9745977984758679,0.9808265871325096,1181.0,0.3321917808219178,0.2519480519480519,0.2865583456425406,385.0,1.0,0.5961538461538461,0.7469879518072289,104.0,0.6923076923076923,0.7912087912087912,0.7384615384615385,91.0,0.0,0.0,0.0,224.0,0.5462962962962963,0.7763157894736842,0.6413043478260869,76.0,0.8894736842105263,0.976878612716763,0.931129476584022,173.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0,162.0
2,2,0.8336683417085428,0.7501696158200908,0.8211843393441954,0.954632471949131,0.8017834969145382,3980.0,1.0,0.5377358490566038,0.6993865030674846,424.0,0.8144833197721725,0.9285714285714286,0.8677936714347637,1078.0,0.8126361655773421,0.8870392390011891,0.8482092097782831,841.0,0.8584070796460177,0.9150943396226415,0.8858447488584474,424.0,0.8613138686131386,1.0,0.9254901960784314,118.0,1.0,1.0,1.0,223.0,0.0,0.0,0.0,140.0,0.21705426356589147,1.0,0.35668789808917195,28.0,0.9713114754098361,0.9916317991631799,0.9813664596273292,239.0,1.0,0.875,0.9333333333333333,112.0,0.8019169329073482,0.7110481586402266,0.7537537537537538,353.0
