metric,mean,std,min,max,folds
accuracy,0.6392444187460735,0.1056624217233161,0.4051665533650578,0.8566899175649968,50
macro_f1,0.5746301811644828,0.11847321105902373,0.39506352673401607,0.7954093516203194,50
weighted_f1,0.6296359745163295,0.09744554182279609,0.44344289440742374,0.8433451257764204,50
roc_auc_ovr_macro,0.8956417628016047,0.057086940762948866,0.7717851695557054,0.9719498972969383,50
average_precision_macro,0.686878625125287,0.09498454940470664,0.5175542561589678,0.8794155022519192,50
n_items,1544.6,98.3921765597411,1437.0,1711.0,50
precision_HumpbackWhale,0.6723481137982632,0.30113735305116346,0.0,1.0,50
recall_HumpbackWhale,0.48594886528285985,0.39904008738609975,0.0,1.0,50
f1_HumpbackWhale,0.4861511240234172,0.34164158889941243,0.0,0.9411764705882353,50
support_HumpbackWhale,109.2,73.26273658162499,68.0,254.0,50
precision_SpermWhale,0.5538582857989579,0.19583138348356507,0.2767857142857143,1.0,50
recall_SpermWhale,0.5718909427888602,0.17861896449986997,0.22277227722772278,0.9211822660098522,50
f1_SpermWhale,0.5270681345816178,0.10762481968029894,0.2903981264637002,0.7405940594059406,50
support_SpermWhale,202.6,0.49487165930539345,202.0,203.0,50
precision_KillerWhale,0.9706929144489052,0.03841660202192548,0.825503355704698,1.0,50
recall_KillerWhale,0.758684368020525,0.18774678279025192,0.4288461538461538,0.9865900383141762,50
f1_KillerWhale,0.8383384895652998,0.12397900526191945,0.5986577181208054,0.983638113570741,50
support_KillerWhale,520.2,0.989743318610787,519.0,522.0,50
precision_Long_FinnedPilotWhale,0.6421827550320488,0.21754709863616692,0.09774436090225563,0.9356060606060606,50
recall_Long_FinnedPilotWhale,0.7397190799396682,0.284947211275561,0.06372549019607843,1.0,50
f1_Long_FinnedPilotWhale,0.6734703039399567,0.2376383333379671,0.0771513353115727,0.9667318982387475,50
support_Long_FinnedPilotWhale,213.4,17.042563762293415,204.0,247.0,50
precision_NorthernRightWhale,0.7971643223363025,0.17758296855672046,0.44516129032258067,1.0,50
recall_NorthernRightWhale,0.8493460235056601,0.2827603176116927,0.16417910447761194,1.0,50
f1_NorthernRightWhale,0.7744671506758135,0.22474374895644517,0.2682926829268293,1.0,50
support_NorthernRightWhale,68.4,1.9794866372215738,67.0,72.0,50
precision_SpinnerDolphin,0.7724968669318615,0.2131592543154562,0.391304347826087,1.0,50
recall_SpinnerDolphin,0.9361707317073171,0.07841464253265654,0.825,1.0,50
f1_SpinnerDolphin,0.8344266354993004,0.15629930516199286,0.5413533834586466,1.0,50
support_SpinnerDolphin,88.6,15.902765771515137,79.0,120.0,50
precision_Short_Finned(Pacific)PilotWhale,0.05517925799314044,0.19573713576537738,0.0,0.9716981132075472,50
recall_Short_Finned(Pacific)PilotWhale,0.07007605559926568,0.23806289621112595,0.0,1.0,50
f1_Short_Finned(Pacific)PilotWhale,0.05602928570999298,0.2006214713597698,0.0,0.9856459330143541,50
support_Short_Finned(Pacific)PilotWhale,111.6,21.127407482669884,92.0,147.0,50
precision_Beluga_WhiteWhale,0.5467142823512776,0.29402957841510885,0.10227272727272728,1.0,50
recall_Beluga_WhiteWhale,0.8521749482401656,0.2263663024540996,0.20833333333333334,1.0,50
f1_Beluga_WhiteWhale,0.600318125155795,0.2442854009162766,0.17061611374407584,1.0,50
support_Beluga_WhiteWhale,26.2,4.490352470143346,23.0,35.0,50
precision_WeddellSeal,0.6889585332478971,0.3415876265494699,0.10396039603960396,1.0,50
recall_WeddellSeal,0.8641760197595438,0.10819443918157595,0.47619047619047616,1.0,50
f1_WeddellSeal,0.7022718314530993,0.25835373058940647,0.18834080717488788,0.972972972972973,50
support_WeddellSeal,20.4,1.761261143705422,18.0,23.0,50
precision_Walrus,0.5399600003753544,0.40617127438172784,0.0,1.0,50
recall_Walrus,0.6244280240831965,0.39622973520076277,0.0,1.0,50
f1_Walrus,0.5377467967454933,0.365461476675921,0.0,1.0,50
support_Walrus,52.4,48.796118949049585,27.0,149.0,50
precision_StripedDolphin,0.3331080456990144,0.37864868262612544,0.0,1.0,50
recall_StripedDolphin,0.27391894647895393,0.3660938471403905,0.0,0.94,50
f1_StripedDolphin,0.29064411545952434,0.3639279164270567,0.0,0.9554140127388535,50
support_StripedDolphin,131.6,61.82001525165038,82.0,250.0,50
