,HumpbackWhale,SpermWhale,KillerWhale,Long_FinnedPilotWhale,NorthernRightWhale,SpinnerDolphin,Short_Finned(Pacific)PilotWhale,Beluga_WhiteWhale,WeddellSeal,Walrus,StripedDolphin
HumpbackWhale,1555,544,413,42,1945,59,69,238,218,313,64
SpermWhale,585,5109,397,1171,49,399,328,275,587,160,1070
KillerWhale,1072,302,20230,236,483,148,566,931,726,881,435
Long_FinnedPilotWhale,77,922,200,5667,177,600,1047,553,1110,43,274
NorthernRightWhale,511,65,5,89,2365,16,3,44,114,192,16
SpinnerDolphin,18,314,5,63,23,3599,123,94,95,43,53
Short_Finned(Pacific)PilotWhale,583,1117,1300,475,66,1103,435,330,64,32,75
Beluga_WhiteWhale,34,127,28,94,58,79,71,649,75,67,28
WeddellSeal,31,50,5,118,0,0,8,8,719,30,51
Walrus,459,8,340,11,335,59,19,339,33,932,85
StripedDolphin,330,919,222,1210,267,183,137,114,475,75,2648
