,HumpbackWhale,SpermWhale,KillerWhale,Long_FinnedPilotWhale,NorthernRightWhale,SpinnerDolphin,Short_Finned(Pacific)PilotWhale,Beluga_WhiteWhale,WeddellSeal,Walrus,StripedDolphin
HumpbackWhale,1452,751,367,71,1964,98,27,225,166,287,52
SpermWhale,479,5436,562,1208,33,293,167,200,626,103,1023
KillerWhale,950,231,21930,112,289,58,198,872,439,496,435
Long_FinnedPilotWhale,78,984,185,5878,85,574,974,475,952,28,457
NorthernRightWhale,597,58,1,49,2388,17,1,20,119,165,5
SpinnerDolphin,13,440,4,7,22,3674,48,59,75,31,57
Short_Finned(Pacific)PilotWhale,378,1439,1133,285,39,1360,416,375,38,25,92
Beluga_WhiteWhale,34,149,35,94,39,55,28,726,65,57,28
WeddellSeal,22,46,10,112,0,0,0,4,770,21,35
Walrus,672,21,383,4,248,75,10,176,28,955,48
StripedDolphin,222,1119,197,1428,313,96,127,115,385,38,2540
