repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_HumpbackWhale,recall_HumpbackWhale,f1_HumpbackWhale,support_HumpbackWhale,precision_SpermWhale,recall_SpermWhale,f1_SpermWhale,support_SpermWhale,precision_KillerWhale,recall_KillerWhale,f1_KillerWhale,support_KillerWhale,precision_Long_FinnedPilotWhale,recall_Long_FinnedPilotWhale,f1_Long_FinnedPilotWhale,support_Long_FinnedPilotWhale,precision_NorthernRightWhale,recall_NorthernRightWhale,f1_NorthernRightWhale,support_NorthernRightWhale,precision_SpinnerDolphin,recall_SpinnerDolphin,f1_SpinnerDolphin,support_SpinnerDolphin,precision_Short_Finned(Pacific)PilotWhale,recall_Short_Finned(Pacific)PilotWhale,f1_Short_Finned(Pacific)PilotWhale,support_Short_Finned(Pacific)PilotWhale,precision_Beluga_WhiteWhale,recall_Beluga_WhiteWhale,f1_Beluga_WhiteWhale,support_Beluga_WhiteWhale,precision_WeddellSeal,recall_WeddellSeal,f1_WeddellSeal,support_WeddellSeal,precision_Walrus,recall_Walrus,f1_Walrus,support_Walrus,precision_StripedDolphin,recall_StripedDolphin,f1_StripedDolphin,support_StripedDolphin
0,0,0.5235457064,0.4670840527,0.5406404258,0.905957268,0.5525413216,1444.0,0.5339805825,0.7857142857,0.6358381503,70.0,0.8392857143,0.6945812808,0.7601078167,203.0,0.9482071713,0.4576923077,0.6173800259,520.0,0.4722222222,0.0833333333,0.1416666667,204.0,0.6413043478,0.8194444444,0.7195121951,72.0,0.4827586207,0.8536585366,0.6167400881,82.0,0.6981132075,0.9024390244,0.7872340426,123.0,0.0628272251,0.48,0.1111111111,25.0,0.1503759398,0.8695652174,0.2564102564,23.0,0.2247191011,0.6896551724,0.3389830508,29.0,0.1688311688,0.1397849462,0.1529411765,93.0
0,1,0.5061367621,0.3587749237,0.4621767841,0.8356359306,0.4447711165,1711.0,0.3925925926,0.2086614173,0.2724935733,254.0,0.3947368421,0.6650246305,0.495412844,203.0,0.7613814757,0.9344894027,0.839100346,519.0,0.6753246753,0.2549019608,0.3701067616,204.0,0.2848484848,0.7014925373,0.4051724138,67.0,0.5857142857,0.5125,0.5466666667,80.0,0.0175438596,0.0108695652,0.0134228188,92.0,0.1538461538,0.6956521739,0.2519685039,23.0,0.3695652174,0.9444444444,0.53125,18.0,0.0,0.0,0.0,149.0,0.2714285714,0.1862745098,0.2209302326,102.0
0,2,0.66,0.4730723542,0.6618176762,0.8957971639,0.5383874494,1600.0,0.2,0.3043478261,0.2413793103,69.0,0.5481481481,0.3645320197,0.4378698225,203.0,0.9673469388,0.9115384615,0.9386138614,520.0,0.6257668712,0.4903846154,0.5498652291,208.0,0.5058823529,0.6417910448,0.5657894737,67.0,0.6182795699,0.9583333333,0.7516339869,120.0,0.0,0.0,0.0,93.0,0.3125,0.2083333333,0.25,24.0,0.0636363636,0.3684210526,0.1085271318,19.0,0.4032258065,0.9259259259,0.5617977528,27.0,0.8407079646,0.76,0.7983193277,250.0
0,3,0.7062374245,0.5335198613,0.6670861789,0.9016311109,0.6098104379,1491.0,0.32,0.2222222222,0.262295082,72.0,0.3822525597,0.5544554455,0.4525252525,202.0,0.984496124,0.9731800766,0.978805395,522.0,0.7763157895,0.955465587,0.8566243194,247.0,0.4736842105,0.671641791,0.5555555556,67.0,0.7647058824,0.9873417722,0.861878453,79.0,0.0,0.0,0.0,147.0,0.25,0.2916666667,0.2692307692,24.0,0.5555555556,0.9523809524,0.701754386,21.0,0.7333333333,0.7857142857,0.7586206897,28.0,0.3913043478,0.1097560976,0.1714285714,82.0
0,4,0.6932972241,0.5539222868,0.6436299445,0.8861703242,0.68577739,1477.0,0.6315789474,0.1481481481,0.24,81.0,0.6557377049,0.5940594059,0.6233766234,202.0,0.9640831758,0.9807692308,0.9723546235,520.0,0.4889502762,0.8676470588,0.6254416961,204.0,0.5046728972,0.7826086957,0.6136363636,69.0,0.5190839695,0.8292682927,0.6384976526,82.0,0.0,0.0,0.0,103.0,0.9428571429,0.9428571429,0.9428571429,35.0,0.6666666667,0.7619047619,0.7111111111,21.0,0.4827586207,0.9655172414,0.6436781609,29.0,0.4,0.0458015267,0.0821917808,131.0
1,0,0.4335421016,0.3639461572,0.4402041395,0.8482514201,0.4706553729,1437.0,0.1603053435,0.2916666667,0.2068965517,72.0,0.7246376812,0.4926108374,0.5865102639,203.0,0.705,0.5423076923,0.6130434783,520.0,0.359223301,0.181372549,0.2410423453,204.0,0.4795918367,0.6811594203,0.5628742515,69.0,0.5735294118,0.9873417722,0.7255813953,79.0,0.0,0.0,0.0,123.0,0.2142857143,0.25,0.2307692308,24.0,0.1481481481,0.7619047619,0.2480620155,21.0,0.3484848485,0.7931034483,0.4842105263,29.0,0.0833333333,0.1397849462,0.1044176707,93.0
1,1,0.4774985389,0.3243304587,0.4373001319,0.8077600138,0.4329863567,1711.0,0.2596153846,0.1062992126,0.1508379888,254.0,0.3982808023,0.684729064,0.5036231884,203.0,0.8084358524,0.8863198459,0.8455882353,519.0,0.6219512195,0.25,0.3566433566,204.0,0.2722772277,0.8208955224,0.4089219331,67.0,0.3880597015,0.325,0.3537414966,80.0,0.0172413793,0.0108695652,0.0133333333,92.0,0.1268656716,0.7391304348,0.2165605096,23.0,0.3090909091,0.9444444444,0.4657534247,18.0,0.0,0.0,0.0,149.0,0.2727272727,0.2352941176,0.2526315789,102.0
1,2,0.648125,0.4668622979,0.6536599694,0.89373525,0.5323754275,1600.0,0.1067961165,0.1594202899,0.1279069767,69.0,0.5185185185,0.4137931034,0.4602739726,203.0,0.9658848614,0.8711538462,0.9160768453,520.0,0.6861313869,0.4519230769,0.5449275362,208.0,0.593220339,0.5223880597,0.5555555556,67.0,0.5918367347,0.9666666667,0.7341772152,120.0,0.0,0.0,0.0,93.0,0.25,0.2083333333,0.2272727273,24.0,0.0902255639,0.6315789474,0.1578947368,19.0,0.4385964912,0.9259259259,0.5952380952,27.0,0.8244897959,0.808,0.8161616162,250.0
1,3,0.7116154873,0.542834399,0.677917601,0.9316030903,0.6284105709,1498.0,0.4496124031,0.8285714286,0.5829145729,70.0,0.5074626866,0.504950495,0.5062034739,202.0,0.8931860037,0.9291187739,0.9107981221,522.0,0.806779661,0.963562753,0.8782287823,247.0,0.7307692308,0.7916666667,0.76,72.0,0.825,0.8048780488,0.8148148148,82.0,0.0,0.0,0.0,147.0,0.25,0.4,0.3076923077,25.0,0.2222222222,0.380952381,0.2807017544,21.0,0.4583333333,0.7857142857,0.5789473684,28.0,0.625,0.243902439,0.350877193,82.0
1,4,0.6953283683,0.5640311515,0.6473047377,0.8855344767,0.6806219966,1477.0,0.4090909091,0.2222222222,0.288,81.0,0.6373056995,0.6089108911,0.6227848101,202.0,0.9584120983,0.975,0.9666348904,520.0,0.4972067039,0.8725490196,0.6334519573,204.0,0.4862385321,0.7910447761,0.6022727273,67.0,0.5073529412,0.8414634146,0.6330275229,82.0,0.0,0.0,0.0,103.0,0.9393939394,0.8857142857,0.9117647059,35.0,0.6206896552,0.7826086957,0.6923076923,23.0,0.71875,0.7931034483,0.7540983607,29.0,0.7777777778,0.0534351145,0.1,131.0
2,0,0.3977900552,0.3498494167,0.3926901319,0.8457604645,0.5092485419,1448.0,0.2112676056,0.4166666667,0.2803738318,72.0,0.6034482759,0.3448275862,0.4388714734,203.0,0.6962365591,0.4980769231,0.5807174888,520.0,0.3142857143,0.1078431373,0.1605839416,204.0,0.2573529412,0.5223880597,0.3448275862,67.0,0.5735294118,0.9873417722,0.7255813953,79.0,0.0,0.0,0.0,123.0,0.2396694215,0.8285714286,0.3717948718,35.0,0.1578947368,0.9130434783,0.2692307692,23.0,0.4615384615,0.8275862069,0.5925925926,29.0,0.0816326531,0.0860215054,0.0837696335,93.0
2,1,0.4944476914,0.3368894569,0.4496390208,0.8265372438,0.4162496674,1711.0,0.1951219512,0.125984252,0.1531100478,254.0,0.4012944984,0.6108374384,0.484375,203.0,0.7971698113,0.9768786127,0.8779220779,519.0,0.8225806452,0.25,0.3834586466,204.0,0.2436548223,0.7164179104,0.3636363636,67.0,0.453125,0.3625,0.4027777778,80.0,0.0163934426,0.0108695652,0.0130718954,92.0,0.1649484536,0.6956521739,0.2666666667,23.0,0.3541666667,0.9444444444,0.5151515152,18.0,0.0,0.0,0.0,149.0,0.3043478261,0.2058823529,0.2456140351,102.0
2,2,0.661875,0.5174619321,0.6597545051,0.8998651384,0.549711289,1600.0,0.3253012048,0.3913043478,0.3552631579,69.0,0.6242038217,0.4827586207,0.5444444444,203.0,0.9659090909,0.8173076923,0.8854166667,520.0,0.63125,0.4855769231,0.5489130435,208.0,0.6769230769,0.6567164179,0.6666666667,67.0,0.5735294118,0.975,0.7222222222,120.0,0.0,0.0,0.0,93.0,0.44,0.4583333333,0.4489795918,24.0,0.0957446809,0.4736842105,0.1592920354,19.0,0.4716981132,0.9259259259,0.625,27.0,0.6755852843,0.808,0.7358834244,250.0
2,3,0.677269715,0.490646559,0.6409539836,0.9028910725,0.5699132686,1509.0,0.12,0.1111111111,0.1153846154,81.0,0.4029304029,0.5445544554,0.4631578947,202.0,0.9295238095,0.9348659004,0.9321872015,522.0,0.8321428571,0.9433198381,0.8842504744,247.0,0.4916666667,0.8194444444,0.6145833333,72.0,0.7234042553,0.8292682927,0.7727272727,82.0,0.0,0.0,0.0,147.0,0.380952381,0.32,0.347826087,25.0,0.2962962963,0.7619047619,0.4266666667,21.0,0.5675675676,0.75,0.6461538462,28.0,0.4761904762,0.1219512195,0.1941747573,82.0
2,4,0.6934707904,0.5085628429,0.6487309216,0.8714355009,0.5563451291,1455.0,0.5,0.6571428571,0.5679012346,70.0,0.7070063694,0.5495049505,0.6183844011,202.0,0.9714285714,0.9807692308,0.976076555,520.0,0.4917582418,0.8774509804,0.6302816901,204.0,0.6666666667,0.6086956522,0.6363636364,69.0,0.4966887417,0.9146341463,0.643776824,82.0,0.0,0.0,0.0,103.0,0.4,0.1666666667,0.2352941176,24.0,0.5714285714,0.7619047619,0.6530612245,21.0,0.4545454545,0.6896551724,0.5479452055,29.0,0.6,0.0458015267,0.085106383,131.0
3,0,0.3970994475,0.3446198991,0.3884554134,0.8395280939,0.5089999195,1448.0,0.1818181818,0.3888888889,0.2477876106,72.0,0.6333333333,0.2807881773,0.3890784983,203.0,0.7071240106,0.5153846154,0.59621802,520.0,0.2676056338,0.0931372549,0.1381818182,204.0,0.312,0.5820895522,0.40625,67.0,0.5032258065,0.9873417722,0.6666666667,79.0,0.0,0.0,0.0,123.0,0.1959459459,0.8285714286,0.3169398907,35.0,0.173553719,0.9130434783,0.2916666667,23.0,0.48,0.8275862069,0.6075949367,29.0,0.1318681319,0.1290322581,0.1304347826,93.0
3,1,0.487434249,0.3524983706,0.443954521,0.8116838398,0.4266855904,1711.0,0.1870967742,0.1141732283,0.141809291,254.0,0.4,0.6403940887,0.4924242424,203.0,0.7707317073,0.9132947977,0.835978836,519.0,0.7297297297,0.2647058824,0.3884892086,204.0,0.3194444444,0.6865671642,0.4360189573,67.0,0.4285714286,0.5625,0.4864864865,80.0,0.0,0.0,0.0,92.0,0.1403508772,0.6956521739,0.2335766423,23.0,0.4473684211,0.9444444444,0.6071428571,18.0,0.0,0.0,0.0,149.0,0.2948717949,0.2254901961,0.2555555556,102.0
3,2,0.695,0.5027380684,0.6893450095,0.9116336306,0.5518234784,1600.0,0.3230769231,0.3043478261,0.3134328358,69.0,0.661971831,0.6945812808,0.6778846154,203.0,0.9694501018,0.9153846154,0.9416419387,520.0,0.6266666667,0.4519230769,0.5251396648,208.0,0.4857142857,0.5074626866,0.496350365,67.0,0.6105263158,0.9666666667,0.7483870968,120.0,0.0476190476,0.0107526882,0.0175438596,93.0,0.25,0.2083333333,0.2272727273,24.0,0.0898876404,0.4210526316,0.1481481481,19.0,0.5102040816,0.9259259259,0.6578947368,27.0,0.7892561983,0.764,0.7764227642,250.0
3,3,0.6938369781,0.5068824781,0.6564208194,0.8834001711,0.5730574441,1509.0,0.1896551724,0.1358024691,0.1582733813,81.0,0.4139344262,0.5,0.4529147982,202.0,0.9606741573,0.9827586207,0.9715909091,522.0,0.8235294118,0.963562753,0.8880597015,247.0,0.4830508475,0.7916666667,0.6,72.0,0.6868686869,0.8292682927,0.7513812155,82.0,0.0,0.0,0.0,147.0,0.3448275862,0.4,0.3703703704,25.0,0.2857142857,0.7619047619,0.4155844156,21.0,0.7857142857,0.7857142857,0.7857142857,28.0,0.2820512821,0.1341463415,0.1818181818,82.0
3,4,0.689347079,0.5530045552,0.6511504296,0.8669766094,0.608069203,1455.0,0.5612244898,0.7857142857,0.6547619048,70.0,0.6494252874,0.5594059406,0.6010638298,202.0,0.9714867617,0.9173076923,0.943620178,520.0,0.4904109589,0.8774509804,0.6291739895,204.0,0.7777777778,0.6086956522,0.6829268293,69.0,0.553030303,0.8902439024,0.6822429907,82.0,0.0,0.0,0.0,103.0,0.625,0.4166666667,0.5,24.0,0.6538461538,0.8095238095,0.7234042553,21.0,0.3815789474,1.0,0.5523809524,29.0,0.8,0.0610687023,0.1134751773,131.0
4,0,0.4281767956,0.3883601371,0.423145967,0.8552411582,0.5321257155,1448.0,0.1804511278,0.3333333333,0.2341463415,72.0,0.6635514019,0.3497536946,0.4580645161,203.0,0.6907730673,0.5326923077,0.6015200869,520.0,0.3888888889,0.137254902,0.2028985507,204.0,0.3636363636,0.6567164179,0.4680851064,67.0,0.5909090909,0.9873417722,0.7393364929,79.0,0.015625,0.0081300813,0.0106951872,123.0,0.2924528302,0.8857142857,0.4397163121,35.0,0.1612903226,0.8695652174,0.2721088435,23.0,0.5434782609,0.8620689655,0.6666666667,29.0,0.1478873239,0.2258064516,0.1787234043,93.0
