,HumpbackWhale,SpermWhale,KillerWhale,Long_FinnedPilotWhale,NorthernRightWhale,SpinnerDolphin,Short_Finned(Pacific)PilotWhale,Beluga_WhiteWhale,WeddellSeal,Walrus,StripedDolphin
HumpbackWhale,945,1032,426,557,1031,628,25,522,110,146,38
SpermWhale,199,5509,764,1378,100,142,206,255,661,65,851
KillerWhale,694,465,21843,340,46,36,201,750,766,309,560
Long_FinnedPilotWhale,98,1069,239,5900,52,532,585,407,1024,22,742
NorthernRightWhale,838,92,2,18,2029,29,0,24,180,164,44
SpinnerDolphin,15,747,4,18,23,3368,86,40,84,9,36
Short_Finned(Pacific)PilotWhale,59,1793,419,264,54,1414,208,316,562,1,490
Beluga_WhiteWhale,47,195,56,59,10,28,69,646,120,37,43
WeddellSeal,11,81,20,123,2,4,1,11,705,20,42
Walrus,814,132,410,20,30,124,0,181,58,829,22
StripedDolphin,310,1845,376,1067,442,23,17,159,434,61,1846
