feature,gain,repeat,fold
mfcc_15_p10,0.03725690394639969,0,0
mfcc_13_mean,0.025650300085544586,0,0
mfcc_1_p10,0.024529725313186646,0,0
bandwidth_mean,0.02409624680876732,0,0
mfcc_delta_0_p90,0.02170538529753685,0,0
mfcc_2_p10,0.018080100417137146,0,0
mfcc_0_p90,0.017241710796952248,0,0
zero_crossing_rate_p10,0.015970692038536072,0,0
flatness_p10,0.01564064435660839,0,0
rolloff85_std,0.015618110075592995,0,0
contrast_5_p10,0.015288098715245724,0,0
mfcc_delta_0_std,0.013614815659821033,0,0
contrast_4_p10,0.013244789093732834,0,0
rolloff85_p10,0.013221925124526024,0,0
rolloff85_mean,0.012646445073187351,0,0
mfcc_1_mean,0.012459872290492058,0,0
mfcc_2_p90,0.01244206540286541,0,0
rms_p10,0.012142276391386986,0,0
mfcc_17_mean,0.01189237367361784,0,0
mfcc_2_mean,0.011236513033509254,0,0
contrast_5_mean,0.011150742881000042,0,0
contrast_0_mean,0.010891363024711609,0,0
rms_mean,0.010392630472779274,0,0
mfcc_6_p10,0.010371756739914417,0,0
contrast_1_mean,0.010089967399835587,0,0
contrast_0_p90,0.009726026095449924,0,0
flatness_mean,0.009619589895009995,0,0
mfcc_3_p10,0.009568629786372185,0,0
mfcc_1_p90,0.009442463517189026,0,0
mfcc_6_mean,0.009421171620488167,0,0
bandwidth_p10,0.00923442468047142,0,0
mfcc_0_std,0.009150790981948376,0,0
mfcc_delta_0_p10,0.008978432044386864,0,0
mfcc_4_p90,0.008810553699731827,0,0
mfcc_13_std,0.008517242036759853,0,0
bandwidth_p90,0.008515989407896996,0,0
mfcc_3_std,0.008455234579741955,0,0
contrast_0_std,0.008401457220315933,0,0
zero_crossing_rate_std,0.008328551426529884,0,0
mfcc_0_mean,0.008189378306269646,0,0
contrast_4_mean,0.008051134645938873,0,0
mfcc_4_p10,0.008010727353394032,0,0
centroid_p10,0.007894429378211498,0,0
rms_p90,0.0067804427817463875,0,0
contrast_3_p10,0.00667226780205965,0,0
contrast_2_mean,0.00651904009282589,0,0
mfcc_5_p90,0.00634508254006505,0,0
mfcc_12_std,0.006266539450734854,0,0
contrast_0_p10,0.006251958664506674,0,0
mfcc_15_mean,0.006061771418899298,0,0
mfcc_16_std,0.005992449354380369,0,0
spectral_entropy_p90,0.005807921756058931,0,0
mfcc_5_mean,0.005794282536953688,0,0
spectral_entropy_p10,0.005650940351188183,0,0
