metric,mean,std,min,max,folds
accuracy,0.5704045920941816,0.12192769919477527,0.39335180055401664,0.7447951645399598,50
macro_f1,0.4252187946296626,0.10091730436273084,0.2743095337582745,0.5886523590332967,50
weighted_f1,0.547834323356283,0.11747634421409293,0.3791747161100889,0.7164777016926797,50
roc_auc_ovr_macro,0.8603701834816796,0.04724452902310589,0.7500805363193106,0.9330338776078839,50
average_precision_macro,0.49496123802035263,0.09014936783376748,0.3278364639187471,0.6579816871440735,50
n_items,1544.6,98.3921765597411,1437.0,1711.0,50
precision_HumpbackWhale,0.32130470507060127,0.2900492614537654,0.0,1.0,50
recall_HumpbackWhale,0.2532034100231031,0.211197260581471,0.0,0.7714285714285715,50
f1_HumpbackWhale,0.2569623437754874,0.20585699981336084,0.0,0.7941176470588235,50
support_HumpbackWhale,109.2,73.26273658162499,68.0,254.0,50
precision_SpermWhale,0.443353405850752,0.11763618338194223,0.2608695652173913,0.7295597484276729,50
recall_SpermWhale,0.5466799980490661,0.11445637755007423,0.2660098522167488,0.7487684729064039,50
f1_SpermWhale,0.4811549449147104,0.1005149505632554,0.2634146341463415,0.6846846846846847,50
support_SpermWhale,202.6,0.49487165930539345,202.0,203.0,50
precision_KillerWhale,0.8923146195911836,0.08379573385864311,0.7071240105540897,0.9828571428571429,50
recall_KillerWhale,0.8391455461686677,0.18575112228292393,0.4288461538461538,1.0,50
f1_KillerWhale,0.8546946338335054,0.13387898979449217,0.548502994011976,0.9905123339658444,50
support_KillerWhale,520.2,0.989743318610787,519.0,522.0,50
precision_Long_FinnedPilotWhale,0.5515560630922931,0.17507455779708758,0.25,0.8941605839416058,50
recall_Long_FinnedPilotWhale,0.5383607208065411,0.3477162830870826,0.0196078431372549,1.0,50
f1_Long_FinnedPilotWhale,0.5157672765317036,0.2626120807041243,0.037037037037037035,0.9407265774378585,50
support_Long_FinnedPilotWhale,213.4,17.042563762293415,204.0,247.0,50
precision_NorthernRightWhale,0.5693475261962296,0.1705605386626877,0.128099173553719,0.8666666666666667,50
recall_NorthernRightWhale,0.5964662196265051,0.1630713558223774,0.2318840579710145,0.8955223880597015,50
f1_NorthernRightWhale,0.5661014311196773,0.14549461866216953,0.20064724919093851,0.8391608391608392,50
support_NorthernRightWhale,68.4,1.9794866372215738,67.0,72.0,50
precision_SpinnerDolphin,0.5550415752173571,0.2688180216805711,0.07377049180327869,0.9861111111111112,50
recall_SpinnerDolphin,0.7481322939178757,0.303201485745497,0.1125,0.9873417721518988,50
f1_SpinnerDolphin,0.6286414557095709,0.2694442630501765,0.0891089108910891,0.975,50
support_SpinnerDolphin,88.6,15.902765771515137,79.0,120.0,50
precision_Short_Finned(Pacific)PilotWhale,0.1172726403707393,0.1996345973231991,0.0,0.8211382113821138,50
recall_Short_Finned(Pacific)PilotWhale,0.04569306510342028,0.1412289230912845,0.0,0.8211382113821138,50
f1_Short_Finned(Pacific)PilotWhale,0.0557667993112249,0.14919948269377856,0.0,0.8211382113821138,50
support_Short_Finned(Pacific)PilotWhale,111.6,21.127407482669884,92.0,147.0,50
precision_Beluga_WhiteWhale,0.2692021138241092,0.248831421083973,0.0,0.8928571428571429,50
recall_Beluga_WhiteWhale,0.47004989648033124,0.2624652135647459,0.0,0.8285714285714286,50
f1_Beluga_WhiteWhale,0.3132565214488251,0.23862150487135486,0.0,0.8529411764705882,50
support_Beluga_WhiteWhale,26.2,4.490352470143346,23.0,35.0,50
precision_WeddellSeal,0.2123078520698283,0.12915384415729872,0.03428571428571429,0.631578947368421,50
recall_WeddellSeal,0.6978268134103374,0.23964756581126354,0.19047619047619047,1.0,50
f1_WeddellSeal,0.30937673859420317,0.15457231577078448,0.061224489795918366,0.6,50
support_WeddellSeal,20.4,1.761261143705422,18.0,23.0,50
precision_Walrus,0.4695815671644237,0.29467589375076975,0.0,0.8846153846153846,50
recall_Walrus,0.6012764841080045,0.35445858564473937,0.0,0.9655172413793104,50
f1_Walrus,0.5110427660250777,0.3101946891706089,0.0,0.8928571428571429,50
support_Walrus,52.4,48.796118949049585,27.0,149.0,50
precision_StripedDolphin,0.24942653722715527,0.27702980537007105,0.0,0.8095238095238095,50
recall_StripedDolphin,0.1723483401983925,0.24459179689585667,0.0,0.788,50
f1_StripedDolphin,0.1846418296623032,0.2483728982259539,0.0,0.7775467775467776,50
support_StripedDolphin,131.6,61.82001525165038,82.0,250.0,50
